Pos,Race No,Fav,Share,Print,Name,Time,Category,Cat Pos,Gender,Gen Pos,Pace,TOD,Start,O/Pos,C/Pos,G/Pos,Aid Station 12.99,O/Pos,C/Pos,G/Pos,Aid Station 20.32,O/Pos,C/Pos,G/Pos,Finish 31.32,O/Pos,C/Pos,G/Pos,Start,O/Pos,C/Pos,G/Pos,Aid Station 12.99,O/Pos,C/Pos,G/Pos,Aid Station 20.32,O/Pos,C/Pos,G/Pos,Finish 31.32,O/Pos,C/Pos,G/Pos
96,467,,,,Kendall Cave,05:17:30,4049,8,Male,83,10:18 min/m,13:19:30,00:00:12,127,15,104,02:08:12,100,10,89,01:48:25,110,11,94,01:20:52,80,7,68,00:00:12,127,15,104,02:08:12,100,10,89,01:48:25,110,11,94,01:20:52,80,7,68
97,476,,,,Martin Katzenmeier,05:18:05,4049,9,Male,84,10:19 min/m,13:20:05,00:00:16,169,20,132,02:08:55,103,11,91,01:45:52,99,9,85,01:23:16,97,11,82,00:00:16,169,20,132,02:08:55,103,11,91,01:45:52,99,9,85,01:23:16,97,11,82
98,57,,,,Christopher Auld,05:19:22,2029,26,Male,85,10:22 min/m,13:21:22,00:00:09,98,21,83,02:02:57,78,21,70,01:51:01,134,28,113,01:25:23,108,26,90,00:00:09,98,21,83,02:02:57,78,21,70,01:51:01,134,28,113,01:25:23,108,26,90
99,439,,,,Coral Candlish-Rutherford,05:20:11,2029,6,Female,14,10:23 min/m,13:22:11,00:00:11,112,7,18,02:19:04,153,10,24,01:42:02,85,5,12,01:19:04,67,3,9,00:00:11,112,7,18,02:19:04,153,10,24,01:42:02,85,5,12,01:19:04,67,3,9
100,29,,,,Ather Haleem,05:21:21,3039,46,Male,86,10:26 min/m,13:23:21,00:00:10,108,51,92,02:07:44,98,48,88,01:49:40,119,57,102,01:23:56,100,44,84,00:00:10,108,51,92,02:07:44,98,48,88,01:49:40,119,57,102,01:23:56,100,44,84
101,282,,,,Sudheer Maremanda,05:21:37,4049,10,Male,87,10:26 min/m,13:23:37,00:00:10,106,11,90,02:13:54,121,15,107,01:44:44,92,7,79,01:22:58,96,10,81,00:00:10,106,11,90,02:13:54,121,15,107,01:44:44,92,7,79,01:22:58,96,10,81
102,5,,,,Matthew Wissbaum,05:22:42,3039,47,Male,88,10:28 min/m,13:24:42,00:00:19,208,78,155,02:12:47,118,57,105,01:47:06,102,50,88,01:22:47,94,41,79,00:00:19,208,78,155,02:12:47,118,57,105,01:47:06,102,50,88,01:22:47,94,41,79
103,510,,,,Steven Fassezke,05:22:43,3039,48,Male,89,10:28 min/m,13:24:43,00:00:12,131,60,108,02:09:43,108,52,96,01:50:06,124,60,106,01:22:52,95,42,80,00:00:12,131,60,108,02:09:43,108,52,96,01:50:06,124,60,106,01:22:52,95,42,80
104,224,,,,Nate Flickinger,05:22:44,2029,27,Male,90,10:28 min/m,13:24:44,00:00:23,240,35,177,02:14:44,127,29,110,01:47:34,105,24,90,01:20:25,74,22,63,00:00:23,240,35,177,02:14:44,127,29,110,01:47:34,105,24,90,01:20:25,74,22,63
105,104,,,,Ghislain Devouton,05:23:58,3039,49,Male,91,10:31 min/m,13:25:58,00:00:09,91,46,77,02:12:25,115,55,102,01:49:25,117,56,101,01:22:07,89,38,74,00:00:09,91,46,77,02:12:25,115,55,102,01:49:25,117,56,101,01:22:07,89,38,74
106,60,,,,Claudia De La Via,05:25:09,3039,5,Female,15,10:33 min/m,13:27:09,00:00:23,242,28,65,02:19:13,155,9,25,01:44:27,91,4,13,01:21:29,84,4,14,00:00:23,242,28,65,02:19:13,155,9,25,01:44:27,91,4,13,01:21:29,84,4,14
107,212,,,,Mike Hinckley,05:25:27,3039,50,Male,92,10:34 min/m,13:27:27,00:00:06,56,23,47,02:06:34,90,44,81,01:40:19,79,36,69,01:38:33,215,80,166,00:00:06,56,23,47,02:06:34,90,44,81,01:40:19,79,36,69,01:38:33,215,80,166
108,402,,,,Jeffrey Huizinga,05:26:03,3039,51,Male,93,10:35 min/m,13:28:03,00:00:31,309,99,222,02:19:22,157,72,132,01:45:03,93,44,80,01:21:38,86,36,72,00:00:31,309,99,222,02:19:22,157,72,132,01:45:03,93,44,80,01:21:38,86,36,72
109,265,,,,Sarah Parker,05:26:07,3039,6,Female,16,10:35 min/m,13:28:07,00:00:28,282,34,77,02:17:33,145,8,23,01:45:11,94,5,14,01:23:22,98,6,16,00:00:28,282,34,77,02:17:33,145,8,23,01:45:11,94,5,14,01:23:22,98,6,16
110,167,,,,Kevin Friedrich,05:26:33,3039,52,Male,94,10:36 min/m,13:28:33,00:00:08,83,42,71,02:12:41,117,56,104,01:45:12,95,45,81,01:28:39,130,55,105,00:00:08,83,42,71,02:12:41,117,56,104,01:45:12,95,45,81,01:28:39,130,55,105
111,289,,,,Todd Buchanan,05:27:04,4049,11,Male,95,10:37 min/m,13:29:04,00:00:16,174,21,135,02:15:23,130,16,113,01:49:22,116,14,100,01:22:19,90,9,75,00:00:16,174,21,135,02:15:23,130,16,113,01:49:22,116,14,100,01:22:19,90,9,75
112,44,,,,Brett Winegar,05:27:21,3039,53,Male,96,10:37 min/m,13:29:21,00:00:05,46,17,38,01:50:02,35,17,34,01:45:14,96,46,82,01:52:03,323,98,221,00:00:05,46,17,38,01:50:02,35,17,34,01:45:14,96,46,82,01:52:03,323,98,221
113,72,,,,Dean Kang,05:27:40,3039,54,Male,97,10:38 min/m,13:29:40,00:00:14,150,67,123,02:00:10,71,35,63,01:55:50,165,70,138,01:31:39,152,63,123,00:00:14,150,67,123,02:00:10,71,35,63,01:55:50,165,70,138,01:31:39,152,63,123
114,353,,,,Garrett Skinner,05:28:17,3039,55,Male,98,10:39 min/m,13:30:17,00:00:07,70,31,60,02:03:19,80,39,72,01:51:23,137,62,115,01:33:34,169,65,132,00:00:07,70,31,60,02:03:19,80,39,72,01:51:23,137,62,115,01:33:34,169,65,132
115,461,,,,Jonathan Menold,05:28:56,2029,28,Male,99,10:40 min/m,13:30:56,00:00:20,214,33,159,02:21:04,165,35,140,01:47:43,107,25,91,01:20:08,72,21,62,00:00:20,214,33,159,02:21:04,165,35,140,01:47:43,107,25,91,01:20:08,72,21,62
116,297,,,,William Hinckley,05:29:16,3039,56,Male,100,10:41 min/m,13:31:16,00:00:07,72,33,62,02:14:39,125,59,108,01:43:00,87,40,75,01:31:36,151,62,122,00:00:07,72,33,62,02:14:39,125,59,108,01:43:00,87,40,75,01:31:36,151,62,122
117,141,,,,Joel Anderson,05:29:18,4049,12,Male,101,10:41 min/m,13:31:18,00:00:13,141,17,118,02:07:35,96,9,86,01:47:15,103,10,89,01:34:27,179,24,140,00:00:13,141,17,118,02:07:35,96,9,86,01:47:15,103,10,89,01:34:27,179,24,140
118,275,,,,Shelaine Dolce,05:29:28,3039,7,Female,17,10:41 min/m,13:31:28,00:00:14,154,13,28,02:14:04,122,5,15,01:49:47,120,7,18,01:25:37,111,9,21,00:00:14,154,13,28,02:14:04,122,5,15,01:49:47,120,7,18,01:25:37,111,9,21
119,229,,,,Nick Danielson,05:29:58,2029,29,Male,102,10:42 min/m,13:31:58,00:00:14,148,26,121,02:07:20,95,25,85,01:55:09,160,35,133,01:27:28,122,28,99,00:00:14,148,26,121,02:07:20,95,25,85,01:55:09,160,35,133,01:27:28,122,28,99
120,369,,,,Jaclyn Greenhill,05:30:01,4049,1,Female,18,10:42 min/m,13:32:01,00:00:15,162,3,34,02:14:05,123,1,16,01:49:26,118,1,17,01:26:29,115,1,22,00:00:15,162,3,34,02:14:05,123,1,16,01:49:26,118,1,17,01:26:29,115,1,22
121,149,,,,Kali Klotz-Brooks,05:30:11,2029,7,Female,19,10:43 min/m,13:32:11,00:00:07,67,4,10,02:09:55,109,6,13,01:50:24,127,7,19,01:29:51,138,9,27,00:00:07,67,4,10,02:09:55,109,6,13,01:50:24,127,7,19,01:29:51,138,9,27
122,105,,,,Graham Melvin,05:30:26,3039,57,Male,103,10:43 min/m,13:32:26,00:00:07,74,35,64,02:15:09,128,60,111,01:41:28,83,39,72,01:33:48,171,66,133,00:00:07,74,35,64,02:15:09,128,60,111,01:41:28,83,39,72,01:33:48,171,66,133
123,506,,,,Shawn Mullaly,05:33:00,3039,58,Male,104,10:48 min/m,13:35:00,00:00:16,176,73,137,02:16:26,139,65,118,01:46:57,101,49,87,01:29:36,136,57,110,00:00:16,176,73,137,02:16:26,139,65,118,01:46:57,101,49,87,01:29:36,136,57,110
124,306,,,,Kurt Smith,05:34:27,3039,59,Male,105,10:51 min/m,13:36:27,00:00:08,80,39,68,02:16:47,141,67,120,01:47:45,108,51,92,01:29:53,140,59,113,00:00:08,80,39,68,02:16:47,141,67,120,01:47:45,108,51,92,01:29:53,140,59,113
125,148,,,,Justin Wall,05:34:41,4049,13,Male,106,10:52 min/m,13:36:41,00:00:07,69,9,59,02:12:30,116,14,103,01:53:00,148,21,125,01:29:10,134,17,109,00:00:07,69,9,59,02:12:30,116,14,103,01:53:00,148,21,125,01:29:10,134,17,109
126,430,,,,Blair Phelps,05:35:22,3039,60,Male,107,10:53 min/m,13:37:22,00:00:16,171,72,133,02:11:50,114,54,101,01:45:57,100,48,86,01:37:33,209,77,161,00:00:16,171,72,133,02:11:50,114,54,101,01:45:57,100,48,86,01:37:33,209,77,161
127,80,,,,Dustin Hinkle,05:35:27,3039,61,Male,108,10:53 min/m,13:37:27,00:00:19,207,77,154,02:17:49,146,68,123,01:51:37,139,63,116,01:26:00,114,49,93,00:00:19,207,77,154,02:17:49,146,68,123,01:51:37,139,63,116,01:26:00,114,49,93
128,351,,,,Robert Collin,05:37:24,3039,62,Male,109,10:57 min/m,13:39:24,00:00:12,132,61,109,02:04:34,84,41,75,01:58:24,176,73,145,01:34:25,178,70,139,00:00:12,132,61,109,02:04:34,84,41,75,01:58:24,176,73,145,01:34:25,178,70,139
129,401,,,,Isaac Medrano,05:37:52,3039,63,Male,110,10:58 min/m,13:39:52,00:00:15,161,70,128,02:18:37,150,70,127,01:52:27,144,64,121,01:26:47,116,50,94,00:00:15,161,70,128,02:18:37,150,70,127,01:52:27,144,64,121,01:26:47,116,50,94
130,497,,,,Pieter Giezen,05:38:02,3039,64,Male,111,10:58 min/m,13:40:02,00:00:12,129,58,106,02:08:47,101,49,90,01:54:58,158,67,131,01:34:17,176,69,137,00:00:12,129,58,106,02:08:47,101,49,90,01:54:58,158,67,131,01:34:17,176,69,137
131,370,,,,Michael Scherzer,05:38:11,5059,2,Male,112,10:58 min/m,13:40:11,00:00:21,226,13,168,02:19:38,158,4,133,01:49:56,122,2,104,01:28:36,129,3,104,00:00:21,226,13,168,02:19:38,158,4,133,01:49:56,122,2,104,01:28:36,129,3,104
132,305,,,,Darren Howard,05:38:11,4049,14,Male,113,10:58 min/m,13:40:11,00:00:20,218,31,162,02:19:46,159,22,134,01:50:55,132,16,111,01:27:29,123,14,100,00:00:20,218,31,162,02:19:46,159,22,134,01:50:55,132,16,111,01:27:29,123,14,100
133,421,,,,Andrew Seaton,05:38:46,4049,15,Male,114,10:59 min/m,13:40:46,00:00:16,179,22,139,02:17:21,144,18,122,01:48:42,112,12,96,01:32:42,163,20,129,00:00:16,179,22,139,02:17:21,144,18,122,01:48:42,112,12,96,01:32:42,163,20,129
134,292,,,,Trevor Pitsch,05:38:49,3039,65,Male,115,11:00 min/m,13:40:49,00:00:12,130,59,107,02:18:35,148,69,125,01:50:24,128,61,109,01:29:49,137,58,111,00:00:12,130,59,107,02:18:35,148,69,125,01:50:24,128,61,109,01:29:49,137,58,111
135,48,,,,Brian Shasserre,05:38:51,4049,16,Male,116,11:00 min/m,13:40:51,00:00:10,107,12,91,02:11:20,112,12,99,01:52:36,147,20,124,01:34:54,183,26,142,00:00:10,107,12,91,02:11:20,112,12,99,01:52:36,147,20,124,01:34:54,183,26,142
136,84,,,,Emily Grober,05:38:59,3039,8,Female,20,11:00 min/m,13:40:59,00:00:11,113,7,19,02:16:50,142,7,22,01:51:13,136,8,22,01:30:55,145,12,28,00:00:11,113,7,19,02:16:50,142,7,22,01:51:13,136,8,22,01:30:55,145,12,28
137,337,,,,Tom Cornilliac,05:39:00,4049,17,Male,117,11:00 min/m,13:41:00,00:00:11,119,13,98,02:19:04,154,20,130,01:50:58,133,17,112,01:28:57,132,16,107,00:00:11,119,13,98,02:19:04,154,20,130,01:50:58,133,17,112,01:28:57,132,16,107
138,243,,,,Paul Heffernan,05:39:03,4049,18,Male,118,11:00 min/m,13:41:03,00:00:28,281,46,205,02:20:34,162,23,137,01:52:31,145,19,122,01:25:57,113,12,92,00:00:28,281,46,205,02:20:34,162,23,137,01:52:31,145,19,122,01:25:57,113,12,92
139,329,,,,Mark Bidwell,05:39:15,5059,3,Male,119,11:00 min/m,13:41:15,00:00:11,111,3,94,02:14:39,126,3,109,01:52:20,143,3,120,01:32:15,160,8,128,00:00:11,111,3,94,02:14:39,126,3,109,01:52:20,143,3,120,01:32:15,160,8,128
140,91,,,,Eric Sach,05:39:15,4049,19,Male,120,11:00 min/m,13:41:15,00:00:17,187,23,143,02:21:40,171,25,143,01:48:53,113,13,97,01:28:41,131,15,106,00:00:17,187,23,143,02:21:40,171,25,143,01:48:53,113,13,97,01:28:41,131,15,106
141,115,,,,James Fishburn,05:40:11,4049,20,Male,121,11:02 min/m,13:42:11,00:00:18,194,25,146,02:06:08,89,8,80,01:55:20,161,22,134,01:38:42,217,37,168,00:00:18,194,25,146,02:06:08,89,8,80,01:55:20,161,22,134,01:38:42,217,37,168
142,135,,,,Jesse Williams,05:40:13,3039,66,Male,122,11:02 min/m,13:42:13,00:00:12,125,56,102,02:22:39,178,76,149,01:49:53,121,58,103,01:27:39,124,53,101,00:00:12,125,56,102,02:22:39,178,76,149,01:49:53,121,58,103,01:27:39,124,53,101
143,432,,,,Brian Curley,05:40:25,2029,30,Male,123,11:03 min/m,13:42:25,00:00:13,136,25,113,02:17:58,147,31,124,01:51:08,135,29,114,01:31:18,148,31,119,00:00:13,136,25,113,02:17:58,147,31,124,01:51:08,135,29,114,01:31:18,148,31,119
144,511,,,,Tara Holland,05:40:44,4049,2,Female,21,11:03 min/m,13:42:44,00:00:27,271,14,74,02:21:24,168,2,27,01:50:45,131,2,21,01:28:33,127,3,25,00:00:27,271,14,74,02:21:24,168,2,27,01:50:45,131,2,21,01:28:33,127,3,25
145,146,,,,Joshua Feyen,05:40:54,3039,67,Male,124,11:04 min/m,13:42:54,00:00:05,48,18,40,02:15:15,129,61,112,01:50:01,123,59,105,01:35:37,187,71,144,00:00:05,48,18,40,02:15:15,129,61,112,01:50:01,123,59,105,01:35:37,187,71,144
146,285,,,,Thomas Riehle,05:41:17,2029,31,Male,125,11:04 min/m,13:43:17,00:00:27,273,41,198,02:09:22,106,26,94,01:54:43,155,34,130,01:37:11,205,35,157,00:00:27,273,41,198,02:09:22,106,26,94,01:54:43,155,34,130,01:37:11,205,35,157
147,238,,,,Patrick Prendiville,05:41:35,3039,68,Male,126,11:05 min/m,13:43:35,00:00:16,178,74,138,02:20:23,161,73,136,01:55:49,164,69,137,01:25:21,107,48,89,00:00:16,178,74,138,02:20:23,161,73,136,01:55:49,164,69,137,01:25:21,107,48,89
148,111,,,,Heather Anderson,05:41:36,3039,9,Female,22,11:05 min/m,13:43:36,00:00:13,142,10,24,02:22:45,179,11,30,01:51:36,138,9,23,01:27:14,120,10,23,00:00:13,142,10,24,02:22:45,179,11,30,01:51:36,138,9,23,01:27:14,120,10,23
149,529,,,,Tarek Wetzel,05:41:55,4049,21,Male,127,11:06 min/m,13:43:55,00:00:22,230,36,171,02:18:45,152,19,129,01:55:42,163,23,136,01:27:27,121,13,98,00:00:22,230,36,171,02:18:45,152,19,129,01:55:42,163,23,136,01:27:27,121,13,98
150,159,,,,Keegan Young,05:41:55,2029,32,Male,128,11:06 min/m,13:43:55,00:00:46,400,49,271,02:20:17,163,33,138,01:53:40,151,33,127,01:27:57,126,29,102,00:00:46,400,49,271,02:20:17,163,33,138,01:53:40,151,33,127,01:27:57,126,29,102
151,526,,,,Derek Nottingham,05:41:56,4049,22,Male,129,11:06 min/m,13:43:56,00:00:21,223,34,166,02:15:45,133,17,114,01:50:39,130,15,110,01:35:32,186,27,143,00:00:21,223,34,166,02:15:45,133,17,114,01:50:39,130,15,110,01:35:32,186,27,143
152,304,,,,Stefanie Bernosky,05:42:40,3039,10,Female,23,11:07 min/m,13:44:40,00:00:12,124,9,23,02:22:54,180,12,31,01:57:40,173,14,30,01:22:04,88,5,15,00:00:12,124,9,23,02:22:54,180,12,31,01:57:40,173,14,30,01:22:04,88,5,15
153,239,,,,Patrick Talmadge,05:43:06,3039,69,Male,130,11:08 min/m,13:45:06,00:00:17,180,75,140,02:16:21,138,64,117,01:58:08,175,72,144,01:28:35,128,54,103,00:00:17,180,75,140,02:16:21,138,64,117,01:58:08,175,72,144,01:28:35,128,54,103
154,225,,,,Nathan Wilhite,05:43:35,3039,70,Male,131,11:09 min/m,13:45:35,00:00:10,102,50,87,02:21:43,170,74,142,01:55:04,159,68,132,01:26:47,117,51,95,00:00:10,102,50,87,02:21:43,170,74,142,01:55:04,159,68,132,01:26:47,117,51,95
155,442,,,,Dan Hadden,05:43:54,4049,23,Male,132,11:09 min/m,13:45:54,00:00:15,166,18,129,02:21:10,166,24,141,01:52:19,142,18,119,01:30:24,142,18,115,00:00:15,166,18,129,02:21:10,166,24,141,01:52:19,142,18,119,01:30:24,142,18,115
156,321,,,,Dylan Wirkkala,05:45:55,2029,33,Male,133,11:13 min/m,13:47:55,00:00:36,347,46,246,02:18:12,149,32,126,01:50:20,126,27,108,01:37:23,207,36,159,00:00:36,347,46,246,02:18:12,149,32,126,01:50:20,126,27,108,01:37:23,207,36,159
157,185,,,,Mac Jonson,05:46:14,3039,71,Male,134,11:14 min/m,13:48:14,00:00:14,151,68,124,02:16:02,135,63,116,01:53:49,152,65,128,01:36:22,195,72,149,00:00:14,151,68,124,02:16:02,135,63,116,01:53:49,152,65,128,01:36:22,195,72,149
158,63,,,,Cord Jonson,05:46:16,3039,72,Male,135,11:14 min/m,13:48:16,00:00:13,140,65,117,02:16:02,134,62,115,01:53:51,153,66,129,01:36:22,196,73,150,00:00:13,140,65,117,02:16:02,134,62,115,01:53:51,153,66,129,01:36:22,196,73,150
159,344,,,,Doug Mayer,05:46:33,5059,4,Male,136,11:15 min/m,13:48:33,00:00:14,152,9,125,02:21:56,173,6,145,01:52:34,146,4,123,01:32:02,156,7,125,00:00:14,152,9,125,02:21:56,173,6,145,01:52:34,146,4,123,01:32:02,156,7,125
160,276,,,,Sierra Brisky,05:47:41,2029,8,Female,24,11:17 min/m,13:49:41,00:00:12,122,9,22,02:16:12,137,9,21,02:05:56,224,13,47,01:25:33,110,8,20,00:00:12,122,9,22,02:16:12,137,9,21,02:05:56,224,13,47,01:25:33,110,8,20
161,145,,,,Jonathan Reiss,05:49:39,5059,5,Male,137,11:21 min/m,13:51:39,00:00:42,381,33,264,02:22:37,182,8,151,01:56:24,169,6,141,01:30:37,144,5,117,00:00:42,381,33,264,02:22:37,182,8,151,01:56:24,169,6,141,01:30:37,144,5,117
162,193,,,,Mary Geddes,05:49:45,5059,1,Female,25,11:21 min/m,13:51:45,00:00:10,103,1,16,02:16:08,136,1,20,02:01:18,192,1,38,01:32:17,161,1,33,00:00:10,103,1,16,02:16:08,136,1,20,02:01:18,192,1,38,01:32:17,161,1,33
163,16,,,,Alisoune Lee,05:49:50,4049,3,Female,26,11:21 min/m,13:51:50,00:00:25,256,13,69,02:21:26,169,3,28,01:56:15,166,3,28,01:32:07,158,5,32,00:00:25,256,13,69,02:21:26,169,3,28,01:56:15,166,3,28,01:32:07,158,5,32
164,218,,,,Minda Paul,05:50:23,3039,11,Female,27,11:22 min/m,13:52:23,00:00:42,377,53,116,02:24:27,196,14,34,01:54:50,156,12,26,01:31:05,146,13,29,00:00:42,377,53,116,02:24:27,196,14,34,01:54:50,156,12,26,01:31:05,146,13,29
165,490,,,,Nathan Jones,05:50:25,4049,24,Male,138,11:22 min/m,13:52:25,00:00:31,308,52,221,02:19:18,156,21,131,01:56:20,168,24,140,01:34:45,182,25,141,00:00:31,308,52,221,02:19:18,156,21,131,01:56:20,168,24,140,01:34:45,182,25,141
166,122,,,,Jeff Frisse,05:51:09,3039,73,Male,139,11:24 min/m,13:53:09,00:00:15,157,69,127,02:09:30,104,50,92,02:03:00,206,80,165,01:38:38,216,81,167,00:00:15,157,69,127,02:09:30,104,50,92,02:03:00,206,80,165,01:38:38,216,81,167
167,508,,,,Starr Mclachlan,05:51:13,3039,12,Female,28,11:24 min/m,13:53:13,00:00:27,272,32,75,02:22:04,175,10,29,01:54:26,154,11,25,01:34:42,181,19,41,00:00:27,272,32,75,02:22:04,175,10,29,01:54:26,154,11,25,01:34:42,181,19,41
168,137,,,,Jessie Mcclurg,05:51:17,3039,13,Female,29,11:24 min/m,13:53:17,00:00:25,258,29,70,02:27:52,216,18,42,01:57:53,174,15,31,01:25:31,109,8,19,00:00:25,258,29,70,02:27:52,216,18,42,01:57:53,174,15,31,01:25:31,109,8,19
169,310,,,,Aaron Leonard,05:51:52,2029,34,Male,140,11:25 min/m,13:53:52,00:00:34,332,44,236,02:16:48,143,30,121,01:53:38,150,32,126,01:41:24,236,38,178,00:00:34,332,44,236,02:16:48,143,30,121,01:53:38,150,32,126,01:41:24,236,38,178
170,227,,,,Nicholas Middleton,05:52:35,3039,74,Male,141,11:26 min/m,13:54:35,00:00:38,363,108,256,02:16:04,140,66,119,01:49:20,115,55,99,01:47:09,284,91,202,00:00:38,363,108,256,02:16:04,140,66,119,01:49:20,115,55,99,01:47:09,284,91,202
171,173,,,,Kurt Schonberg,05:52:47,5059,6,Male,142,11:27 min/m,13:54:47,00:00:13,139,7,116,02:25:17,200,9,164,01:56:17,167,5,139,01:31:13,147,6,118,00:00:13,139,7,116,02:25:17,200,9,164,01:56:17,167,5,139,01:31:13,147,6,118
172,527,,,,Evan Jones,05:52:56,3039,75,Male,143,11:27 min/m,13:54:56,00:00:22,229,84,170,02:22:27,177,75,148,01:58:59,180,75,147,01:31:29,149,61,120,00:00:22,229,84,170,02:22:27,177,75,148,01:58:59,180,75,147,01:31:29,149,61,120
173,513,,,,Tiff Phillips,05:53:01,3039,14,Female,30,11:27 min/m,13:55:01,00:00:27,275,33,76,02:23:19,187,13,32,01:53:10,149,10,24,01:36:32,197,23,47,00:00:27,275,33,76,02:23:19,187,13,32,01:53:10,149,10,24,01:36:32,197,23,47
174,15,,,,Alicia Jenkins,05:53:05,2029,9,Female,31,11:27 min/m,13:55:05,00:00:20,213,15,55,02:27:10,209,13,39,02:00:37,185,11,35,01:25:18,106,7,18,00:00:20,213,15,55,02:27:10,209,13,39,02:00:37,185,11,35,01:25:18,106,7,18
175,189,,,,Mark Cliggett,05:53:10,5059,7,Male,144,11:28 min/m,13:55:10,00:00:10,100,2,85,02:26:38,208,10,170,02:00:44,186,7,151,01:25:48,112,2,91,00:00:10,100,2,85,02:26:38,208,10,170,02:00:44,186,7,151,01:25:48,112,2,91
176,338,,,,Wesley Mccain,05:53:56,3039,76,Male,145,11:29 min/m,13:55:56,00:00:15,168,71,131,02:23:18,186,78,155,01:56:39,170,71,142,01:33:59,174,68,136,00:00:15,168,71,131,02:23:18,186,78,155,01:56:39,170,71,142,01:33:59,174,68,136
177,204,,,,Megan Morris,05:54:23,2029,10,Female,32,11:30 min/m,13:56:23,00:00:14,155,11,29,02:15:43,132,8,19,01:54:57,157,9,27,01:43:42,251,14,65,00:00:14,155,11,29,02:15:43,132,8,19,01:54:57,157,9,27,01:43:42,251,14,65
178,40,,,,Bradley Meissner,05:55:31,3039,77,Male,146,11:32 min/m,13:57:31,00:00:35,342,103,241,02:22:40,181,77,150,01:58:54,179,74,146,01:33:56,173,67,135,00:00:35,342,103,241,02:22:40,181,77,150,01:58:54,179,74,146,01:33:56,173,67,135
179,126,,,,Jeff Dewitt,05:55:54,5059,8,Male,147,11:33 min/m,13:57:54,00:00:13,135,6,112,02:05:00,85,2,76,02:10:51,249,16,193,01:40:02,225,13,173,00:00:13,135,6,112,02:05:00,85,2,76,02:10:51,249,16,193,01:40:02,225,13,173
180,451,,,,Gemma Clark,05:56:14,2029,11,Female,33,11:33 min/m,13:58:14,00:00:11,110,6,17,02:21:15,167,11,26,02:00:47,187,12,36,01:34:11,175,10,39,00:00:11,110,6,17,02:21:15,167,11,26,02:00:47,187,12,36,01:34:11,175,10,39
181,326,,,,Kirsten Johnson,05:56:35,2029,12,Female,34,11:34 min/m,13:58:35,00:00:11,118,8,21,02:14:31,124,7,17,01:50:31,129,8,20,01:51:32,317,25,101,00:00:11,118,8,21,02:14:31,124,7,17,01:50:31,129,8,20,01:51:32,317,25,101
182,69,,,,Daniel Gallant,05:57:27,5059,9,Male,148,11:36 min/m,13:59:27,00:00:11,117,4,97,02:22:21,176,7,147,02:05:13,215,12,170,01:29:51,139,4,112,00:00:11,117,4,97,02:22:21,176,7,147,02:05:13,215,12,170,01:29:51,139,4,112
183,37,,,,Betsy Landrum,05:58:57,4049,4,Female,35,11:39 min/m,14:00:57,00:00:25,253,12,68,02:25:09,201,4,37,02:00:03,182,4,34,01:33:44,170,7,38,00:00:25,253,12,68,02:25:09,201,4,37,02:00:03,182,4,34,01:33:44,170,7,38
184,68,,,,Dan Auld,05:58:58,2029,35,Male,149,11:39 min/m,14:00:58,00:00:17,191,29,144,02:24:53,198,40,163,02:01:57,197,39,158,01:32:06,157,33,126,00:00:17,191,29,144,02:24:53,198,40,163,02:01:57,197,39,158,01:32:06,157,33,126
185,46,,,,Brian Morrison,05:58:58,3039,78,Male,150,11:39 min/m,14:00:58,00:00:17,182,76,141,02:24:35,192,79,160,02:02:14,200,78,160,01:32:08,159,64,127,00:00:17,182,76,141,02:24:35,192,79,160,02:02:14,200,78,160,01:32:08,159,64,127
186,308,,,,Michael Emerling,05:59:31,4049,25,Male,151,11:40 min/m,14:01:31,00:00:20,216,30,160,02:24:16,190,29,158,02:00:56,188,27,152,01:34:18,177,23,138,00:00:20,216,30,160,02:24:16,190,29,158,02:00:56,188,27,152,01:34:18,177,23,138
187,232,,,,Nicola Towers,05:59:38,3039,15,Female,36,11:40 min/m,14:01:38,00:00:17,186,18,44,02:31:04,227,23,47,01:56:41,171,13,29,01:31:52,154,14,30,00:00:17,186,18,44,02:31:04,227,23,47,01:56:41,171,13,29,01:31:52,154,14,30
188,86,,,,Eric Mcdougal,05:59:55,2029,36,Male,152,11:41 min/m,14:01:55,00:00:25,260,39,190,02:23:39,189,39,157,02:00:17,184,37,150,01:35:58,190,34,146,00:00:25,260,39,190,02:23:39,189,39,157,02:00:17,184,37,150,01:35:58,190,34,146
189,228,,,,Nichole Braun,06:00:35,3039,16,Female,37,11:42 min/m,14:02:35,00:00:13,144,11,25,02:25:00,199,16,36,02:02:18,201,19,41,01:33:16,166,17,36,00:00:13,144,11,25,02:25:00,199,16,36,02:02:18,201,19,41,01:33:16,166,17,36
190,441,,,,Curtis Muller,06:00:48,2029,37,Male,153,11:42 min/m,14:02:48,00:00:33,321,43,231,02:34:38,241,45,189,01:55:33,162,36,135,01:30:36,143,30,116,00:00:33,321,43,231,02:34:38,241,45,189,01:55:33,162,36,135,01:30:36,143,30,116
191,66,,,,Cory Sutherland,06:02:16,4049,26,Male,154,11:45 min/m,14:04:16,00:00:09,92,10,78,02:21:57,172,26,144,02:02:11,199,29,159,01:38:06,211,36,163,00:00:09,92,10,78,02:21:57,172,26,144,02:02:11,199,29,159,01:38:06,211,36,163
